model,run_label,training_seed,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
ddpm_v5,v3,2028,0000,ddpm_v5_0000.nii.gz,0.8349609375,,8664,0.009297733516483516,0.9691933989524841,False
ddpm_v5,v3,2028,0001,ddpm_v5_0001.nii.gz,0.86181640625,,9721,0.01043204842032967,0.9730402231216431,False
ddpm_v5,v3,2028,0002,ddpm_v5_0002.nii.gz,0.72509765625,,9039,0.009700163118131868,0.9550972580909729,False
ddpm_v5,v3,2028,0003,ddpm_v5_0003.nii.gz,0.79443359375,,14083,0.015113109546703297,0.9689283967018127,False
ddpm_v5,v3,2028,0004,ddpm_v5_0004.nii.gz,0.85693359375,,14348,0.015397493131868133,0.966427206993103,False
ddpm_v5,v3,2028,0005,ddpm_v5_0005.nii.gz,0.74755859375,,9250,0.00992659684065934,0.9623749852180481,False
ddpm_v5,v3,2028,0006,ddpm_v5_0006.nii.gz,0.890625,,9467,0.010159469436813187,0.9765325784683228,False
ddpm_v5,v3,2028,0007,ddpm_v5_0007.nii.gz,0.84716796875,,12510,0.01342505151098901,0.9759236574172974,False
ddpm_v5,v3,2028,0008,ddpm_v5_0008.nii.gz,0.8173828125,,14883,0.01597162603021978,0.9646419286727905,False
ddpm_v5,v3,2028,0009,ddpm_v5_0009.nii.gz,0.64794921875,,11113,0.011925867101648351,0.9574434161186218,False
ddpm_v5,v3,2028,0010,ddpm_v5_0010.nii.gz,0.79052734375,,5183,0.005562113667582418,0.9639361500740051,False
ddpm_v5,v3,2028,0011,ddpm_v5_0011.nii.gz,0.748046875,,7558,0.008110834478021979,0.9512786865234375,False
ddpm_v5,v3,2028,0012,ddpm_v5_0012.nii.gz,0.71533203125,,13568,0.01456043956043956,0.9664803147315979,False
ddpm_v5,v3,2028,0013,ddpm_v5_0013.nii.gz,0.7939453125,,10828,0.011620020604395605,0.9678899645805359,False
ddpm_v5,v3,2028,0014,ddpm_v5_0014.nii.gz,0.81396484375,,14884,0.015972699175824175,0.9692311882972717,False
ddpm_v5,v3,2028,0015,ddpm_v5_0015.nii.gz,0.783203125,,13306,0.014279275412087912,0.9612677693367004,False
ddpm_v5,v3,2028,0016,ddpm_v5_0016.nii.gz,0.7705078125,,16529,0.017738023695054946,0.9471945762634277,False
ddpm_v5,v3,2028,0017,ddpm_v5_0017.nii.gz,0.68505859375,,12823,0.013760946085164835,0.9543766975402832,False
ddpm_v5,v3,2028,0018,ddpm_v5_0018.nii.gz,0.78466796875,,10479,0.011245492788461538,0.959564208984375,False
ddpm_v5,v3,2028,0019,ddpm_v5_0019.nii.gz,0.724609375,,6907,0.007412216689560439,0.9652708768844604,False
ddpm_v5,v3,2028,0020,ddpm_v5_0020.nii.gz,0.71630859375,,13997,0.015020819024725275,0.9475467801094055,False
ddpm_v5,v3,2028,0021,ddpm_v5_0021.nii.gz,0.80859375,,10426,0.011188616071428572,0.9626118540763855,False
ddpm_v5,v3,2028,0022,ddpm_v5_0022.nii.gz,0.6875,,12105,0.012990427541208792,0.9579071402549744,False
ddpm_v5,v3,2028,0023,ddpm_v5_0023.nii.gz,0.83203125,,7364,0.00790264423076923,0.9668132066726685,False
ddpm_v5,v3,2028,0024,ddpm_v5_0024.nii.gz,0.779296875,,10152,0.010894574175824175,0.9659749865531921,False
ddpm_v5,v3,2028,0025,ddpm_v5_0025.nii.gz,0.82666015625,,13784,0.01479223901098901,0.9574103355407715,False
ddpm_v5,v3,2028,0026,ddpm_v5_0026.nii.gz,0.88037109375,,8375,0.008987594436813186,0.967679500579834,False
ddpm_v5,v3,2028,0027,ddpm_v5_0027.nii.gz,0.86083984375,,8924,0.009576751373626374,0.9683860540390015,False
ddpm_v5,v3,2028,0028,ddpm_v5_0028.nii.gz,0.79638671875,,10954,0.01175523695054945,0.9612202644348145,False
ddpm_v5,v3,2028,0029,ddpm_v5_0029.nii.gz,0.79833984375,,12178,0.01306876717032967,0.9676606059074402,False
ddpm_v5,v3,2028,0030,ddpm_v5_0030.nii.gz,0.732421875,,8133,0.00872789320054945,0.9593273401260376,False
ddpm_v5,v3,2028,0031,ddpm_v5_0031.nii.gz,0.7724609375,,7532,0.008082932692307693,0.962954580783844,False
ddpm_v5,v3,2028,0032,ddpm_v5_0032.nii.gz,0.78076171875,,12802,0.013738410027472527,0.9611550569534302,False
ddpm_v5,v3,2028,0033,ddpm_v5_0033.nii.gz,0.794921875,,8565,0.009191492101648352,0.9630671143531799,False
ddpm_v5,v3,2028,0034,ddpm_v5_0034.nii.gz,0.80517578125,,10487,0.011254077953296703,0.9696470499038696,False
ddpm_v5,v3,2028,0035,ddpm_v5_0035.nii.gz,0.8291015625,,8438,0.00905520260989011,0.9646140933036804,False
ddpm_v5,v3,2028,0036,ddpm_v5_0036.nii.gz,0.87451171875,,16065,0.017240084134615384,0.9650294184684753,False
ddpm_v5,v3,2028,0037,ddpm_v5_0037.nii.gz,0.55419921875,,9288,0.009967376373626373,0.9546216130256653,False
ddpm_v5,v3,2028,0038,ddpm_v5_0038.nii.gz,0.837890625,,15362,0.016485662774725275,0.9641280770301819,False
ddpm_v5,v3,2028,0039,ddpm_v5_0039.nii.gz,0.8828125,,7288,0.007821085164835165,0.9659881591796875,False
ddpm_v5,v3,2028,0040,ddpm_v5_0040.nii.gz,0.75830078125,,13826,0.014837311126373626,0.9578539133071899,False
