model,run_label,training_seed,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
ddpm_v5,v2,2027,0000,ddpm_v5_0000.nii.gz,0.85986328125,,9182,0.00985362293956044,0.9731314778327942,False
ddpm_v5,v2,2027,0001,ddpm_v5_0001.nii.gz,0.72802734375,,10165,0.010908525068681318,0.9737248420715332,False
ddpm_v5,v2,2027,0002,ddpm_v5_0002.nii.gz,0.8310546875,,10594,0.011368904532967032,0.9600520133972168,False
ddpm_v5,v2,2027,0003,ddpm_v5_0003.nii.gz,0.833984375,,11068,0.011877575549450549,0.9737556576728821,False
ddpm_v5,v2,2027,0004,ddpm_v5_0004.nii.gz,0.76123046875,,11915,0.012786529876373626,0.966555118560791,False
ddpm_v5,v2,2027,0005,ddpm_v5_0005.nii.gz,0.84130859375,,7354,0.007891912774725274,0.9715448617935181,False
ddpm_v5,v2,2027,0006,ddpm_v5_0006.nii.gz,0.85205078125,,9521,0.01021741929945055,0.977338433265686,False
ddpm_v5,v2,2027,0007,ddpm_v5_0007.nii.gz,0.8271484375,,12764,0.013697630494505494,0.9767670035362244,False
ddpm_v5,v2,2027,0008,ddpm_v5_0008.nii.gz,0.8544921875,,13878,0.014893114697802199,0.9682405591011047,False
ddpm_v5,v2,2027,0009,ddpm_v5_0009.nii.gz,0.705078125,,9376,0.010061813186813187,0.9640621542930603,False
ddpm_v5,v2,2027,0010,ddpm_v5_0010.nii.gz,0.8544921875,,4629,0.0049675910027472524,0.9745306968688965,False
ddpm_v5,v2,2027,0011,ddpm_v5_0011.nii.gz,0.71728515625,,8367,0.008979009271978021,0.9614369869232178,False
ddpm_v5,v2,2027,0012,ddpm_v5_0012.nii.gz,0.759765625,,12643,0.013567779876373627,0.9666469693183899,False
ddpm_v5,v2,2027,0013,ddpm_v5_0013.nii.gz,0.75537109375,,10705,0.011488023695054946,0.9712777733802795,False
ddpm_v5,v2,2027,0014,ddpm_v5_0014.nii.gz,0.822265625,,16437,0.01763929429945055,0.9704667925834656,False
ddpm_v5,v2,2027,0015,ddpm_v5_0015.nii.gz,0.826171875,,12353,0.0132565676510989,0.968285322189331,False
ddpm_v5,v2,2027,0016,ddpm_v5_0016.nii.gz,0.83740234375,,13227,0.01419449690934066,0.9515743255615234,False
ddpm_v5,v2,2027,0017,ddpm_v5_0017.nii.gz,0.71875,,8948,0.009602506868131869,0.9620081186294556,False
ddpm_v5,v2,2027,0018,ddpm_v5_0018.nii.gz,0.8076171875,,11566,0.01241200206043956,0.9711353182792664,False
ddpm_v5,v2,2027,0019,ddpm_v5_0019.nii.gz,0.67578125,,7370,0.007909083104395604,0.9672645330429077,False
ddpm_v5,v2,2027,0020,ddpm_v5_0020.nii.gz,0.6435546875,,13760,0.014766483516483516,0.9429970383644104,False
ddpm_v5,v2,2027,0021,ddpm_v5_0021.nii.gz,0.75146484375,,10284,0.011036229395604396,0.9709171652793884,False
ddpm_v5,v2,2027,0022,ddpm_v5_0022.nii.gz,0.8349609375,,14278,0.015322372939560439,0.9662940502166748,False
ddpm_v5,v2,2027,0023,ddpm_v5_0023.nii.gz,0.8515625,,7146,0.007668698489010989,0.9735971689224243,False
ddpm_v5,v2,2027,0024,ddpm_v5_0024.nii.gz,0.72216796875,,8730,0.009368561126373626,0.9690484404563904,False
ddpm_v5,v2,2027,0025,ddpm_v5_0025.nii.gz,0.83251953125,,10673,0.011453683035714285,0.9603531956672668,False
ddpm_v5,v2,2027,0026,ddpm_v5_0026.nii.gz,0.90087890625,,9382,0.010068252060439561,0.9694439768791199,False
ddpm_v5,v2,2027,0027,ddpm_v5_0027.nii.gz,0.89404296875,,8341,0.008951107486263736,0.9742153882980347,False
ddpm_v5,v2,2027,0028,ddpm_v5_0028.nii.gz,0.69384765625,,11674,0.012527901785714286,0.9634836316108704,False
ddpm_v5,v2,2027,0029,ddpm_v5_0029.nii.gz,0.77734375,,11004,0.01180889423076923,0.9756374359130859,False
ddpm_v5,v2,2027,0030,ddpm_v5_0030.nii.gz,0.7822265625,,6651,0.007137491414835165,0.9652994871139526,False
ddpm_v5,v2,2027,0031,ddpm_v5_0031.nii.gz,0.87060546875,,7694,0.00825678228021978,0.9659678339958191,False
ddpm_v5,v2,2027,0032,ddpm_v5_0032.nii.gz,0.89404296875,,11476,0.012315418956043956,0.9739907383918762,False
ddpm_v5,v2,2027,0033,ddpm_v5_0033.nii.gz,0.77978515625,,6720,0.007211538461538462,0.973484992980957,False
ddpm_v5,v2,2027,0034,ddpm_v5_0034.nii.gz,0.75537109375,,12082,0.012965745192307693,0.9674170017242432,False
ddpm_v5,v2,2027,0035,ddpm_v5_0035.nii.gz,0.78076171875,,9772,0.010486778846153845,0.9640440940856934,False
ddpm_v5,v2,2027,0036,ddpm_v5_0036.nii.gz,0.828125,,18297,0.019635345123626375,0.9657297134399414,False
ddpm_v5,v2,2027,0037,ddpm_v5_0037.nii.gz,0.74853515625,,6014,0.0064538976648351645,0.9578866958618164,False
ddpm_v5,v2,2027,0038,ddpm_v5_0038.nii.gz,0.89306640625,,15082,0.016185182005494507,0.9722599983215332,False
ddpm_v5,v2,2027,0039,ddpm_v5_0039.nii.gz,0.8369140625,,6682,0.007170758928571428,0.9654721021652222,False
ddpm_v5,v2,2027,0040,ddpm_v5_0040.nii.gz,0.7255859375,,14912,0.01600274725274725,0.9595785140991211,False
ddpm_v5,v2,2027,0041,ddpm_v5_0041.nii.gz,0.64013671875,,14806,0.015888993818681318,0.9429792165756226,False
ddpm_v5,v2,2027,0042,ddpm_v5_0042.nii.gz,0.81884765625,,13710,0.014712826236263736,0.9595650434494019,False
ddpm_v5,v2,2027,0043,ddpm_v5_0043.nii.gz,0.8310546875,,13267,0.014237422733516483,0.9722119569778442,False
ddpm_v5,v2,2027,0044,ddpm_v5_0044.nii.gz,0.73828125,,13026,0.013978794642857144,0.9738844037055969,False
ddpm_v5,v2,2027,0045,ddpm_v5_0045.nii.gz,0.65185546875,,4874,0.0052305116758241755,0.9626904726028442,False
ddpm_v5,v2,2027,0046,ddpm_v5_0046.nii.gz,0.8603515625,,9951,0.01067887190934066,0.9684423208236694,False
ddpm_v5,v2,2027,0047,ddpm_v5_0047.nii.gz,0.8515625,,16262,0.01745149381868132,0.9737157821655273,False
ddpm_v5,v2,2027,0048,ddpm_v5_0048.nii.gz,0.88525390625,,11509,0.01235083276098901,0.9746032953262329,False
ddpm_v5,v2,2027,0049,ddpm_v5_0049.nii.gz,0.80029296875,,11031,0.011837869162087912,0.9703603386878967,False
ddpm_v5,v2,2027,0050,ddpm_v5_0050.nii.gz,0.7900390625,,14163,0.015198961195054945,0.9678455591201782,False
ddpm_v5,v2,2027,0051,ddpm_v5_0051.nii.gz,0.7705078125,,10782,0.011570655906593407,0.9697327017784119,False
ddpm_v5,v2,2027,0052,ddpm_v5_0052.nii.gz,0.85986328125,,14500,0.015560611263736264,0.9746479392051697,False
ddpm_v5,v2,2027,0053,ddpm_v5_0053.nii.gz,0.9208984375,,7966,0.008548677884615385,0.9783848524093628,False
ddpm_v5,v2,2027,0054,ddpm_v5_0054.nii.gz,0.689453125,,5415,0.005811083447802198,0.9684547781944275,False
ddpm_v5,v2,2027,0055,ddpm_v5_0055.nii.gz,0.775390625,,6808,0.007305975274725275,0.9732123613357544,False
ddpm_v5,v2,2027,0056,ddpm_v5_0056.nii.gz,0.84375,,9593,0.010294685782967033,0.9645988345146179,False
ddpm_v5,v2,2027,0057,ddpm_v5_0057.nii.gz,0.73291015625,,9535,0.010232443337912088,0.9699941873550415,False
ddpm_v5,v2,2027,0058,ddpm_v5_0058.nii.gz,0.8515625,,14109,0.015141011332417582,0.9703308939933777,False
ddpm_v5,v2,2027,0059,ddpm_v5_0059.nii.gz,0.87841796875,,14080,0.01510989010989011,0.9741553068161011,False
ddpm_v5,v2,2027,0060,ddpm_v5_0060.nii.gz,0.73583984375,,11206,0.012025669642857144,0.9668503999710083,False
ddpm_v5,v2,2027,0061,ddpm_v5_0061.nii.gz,0.81298828125,,9288,0.009967376373626373,0.9657978415489197,False
ddpm_v5,v2,2027,0062,ddpm_v5_0062.nii.gz,0.6875,,9829,0.010547948145604396,0.9593218564987183,False
ddpm_v5,v2,2027,0063,ddpm_v5_0063.nii.gz,0.67333984375,,11520,0.012362637362637362,0.9643873572349548,False
ddpm_v5,v2,2027,0064,ddpm_v5_0064.nii.gz,0.7802734375,,6336,0.00679945054945055,0.9663683176040649,False
ddpm_v5,v2,2027,0065,ddpm_v5_0065.nii.gz,0.82861328125,,8735,0.009373926854395604,0.9708887338638306,False
ddpm_v5,v2,2027,0066,ddpm_v5_0066.nii.gz,0.7802734375,,9557,0.010256052541208791,0.9654300808906555,False
ddpm_v5,v2,2027,0067,ddpm_v5_0067.nii.gz,0.7890625,,18055,0.019375643887362636,0.96937096118927,False
ddpm_v5,v2,2027,0068,ddpm_v5_0068.nii.gz,0.8583984375,,7427,0.007970252403846153,0.9701024889945984,False
ddpm_v5,v2,2027,0069,ddpm_v5_0069.nii.gz,0.703125,,6597,0.007079541552197802,0.9615014791488647,False
ddpm_v5,v2,2027,0070,ddpm_v5_0070.nii.gz,0.77392578125,,9914,0.010639165521978022,0.9660173058509827,False
ddpm_v5,v2,2027,0071,ddpm_v5_0071.nii.gz,0.912109375,,15579,0.016718535370879122,0.9729295372962952,False
ddpm_v5,v2,2027,0072,ddpm_v5_0072.nii.gz,0.72509765625,,8193,0.008792281936813187,0.9619998931884766,False
ddpm_v5,v2,2027,0073,ddpm_v5_0073.nii.gz,0.7890625,,9005,0.009663676167582418,0.9665070176124573,False
ddpm_v5,v2,2027,0074,ddpm_v5_0074.nii.gz,0.6982421875,,8927,0.009579970810439561,0.9631208777427673,False
ddpm_v5,v2,2027,0075,ddpm_v5_0075.nii.gz,0.89306640625,,7516,0.008065762362637363,0.9757027626037598,False
ddpm_v5,v2,2027,0076,ddpm_v5_0076.nii.gz,0.67724609375,,7200,0.007726648351648352,0.9629259705543518,False
ddpm_v5,v2,2027,0077,ddpm_v5_0077.nii.gz,0.79833984375,,11765,0.012625558035714286,0.9612773060798645,False
ddpm_v5,v2,2027,0078,ddpm_v5_0078.nii.gz,0.6357421875,,11134,0.011948403159340659,0.96492600440979,False
ddpm_v5,v2,2027,0079,ddpm_v5_0079.nii.gz,0.81103515625,,12473,0.013385345123626373,0.9698630571365356,False
ddpm_v5,v2,2027,0080,ddpm_v5_0080.nii.gz,0.6611328125,,10841,0.011633971497252748,0.9511565566062927,False
ddpm_v5,v2,2027,0081,ddpm_v5_0081.nii.gz,0.8994140625,,9410,0.010098300137362638,0.973099410533905,False
ddpm_v5,v2,2027,0082,ddpm_v5_0082.nii.gz,0.857421875,,16829,0.018059967376373626,0.9705573916435242,False
ddpm_v5,v2,2027,0083,ddpm_v5_0083.nii.gz,0.65234375,,4996,0.00536143543956044,0.9586983323097229,False
ddpm_v5,v2,2027,0084,ddpm_v5_0084.nii.gz,0.87548828125,,8109,0.008702137706043956,0.9727542996406555,False
ddpm_v5,v2,2027,0085,ddpm_v5_0085.nii.gz,0.88525390625,,14297,0.015342762706043955,0.9718111157417297,False
ddpm_v5,v2,2027,0086,ddpm_v5_0086.nii.gz,0.74462890625,,7250,0.007780305631868132,0.9742552638053894,False
ddpm_v5,v2,2027,0087,ddpm_v5_0087.nii.gz,0.77392578125,,12693,0.013621437156593407,0.9696675539016724,False
ddpm_v5,v2,2027,0088,ddpm_v5_0088.nii.gz,0.72265625,,4457,0.004783009958791209,0.9607301354408264,False
ddpm_v5,v2,2027,0089,ddpm_v5_0089.nii.gz,0.76025390625,,7393,0.007933765453296703,0.9685184955596924,False
ddpm_v5,v2,2027,0090,ddpm_v5_0090.nii.gz,0.67822265625,,9739,0.01045136504120879,0.9572662711143494,False
ddpm_v5,v2,2027,0091,ddpm_v5_0091.nii.gz,0.6982421875,,11458,0.012296102335164835,0.968427836894989,False
ddpm_v5,v2,2027,0092,ddpm_v5_0092.nii.gz,0.85009765625,,11353,0.012183422046703297,0.9731504917144775,False
ddpm_v5,v2,2027,0093,ddpm_v5_0093.nii.gz,0.91357421875,,11852,0.012718921703296703,0.974807858467102,False
ddpm_v5,v2,2027,0094,ddpm_v5_0094.nii.gz,0.7568359375,,17955,0.019268329326923076,0.9664758443832397,False
ddpm_v5,v2,2027,0095,ddpm_v5_0095.nii.gz,0.66357421875,,6424,0.006893887362637362,0.9461040496826172,False
ddpm_v5,v2,2027,0096,ddpm_v5_0096.nii.gz,0.703125,,12110,0.01299579326923077,0.959784984588623,False
ddpm_v5,v2,2027,0097,ddpm_v5_0097.nii.gz,0.673828125,,16322,0.017515882554945055,0.9573795795440674,False
ddpm_v5,v2,2027,0098,ddpm_v5_0098.nii.gz,0.7626953125,,5507,0.005909812843406593,0.9665036797523499,False
ddpm_v5,v2,2027,0099,ddpm_v5_0099.nii.gz,0.79931640625,,9736,0.010448145604395604,0.9681522846221924,False
ddpm_v5,v2,2027,0100,ddpm_v5_0100.nii.gz,0.72412109375,,9632,0.010336538461538461,0.9660012722015381,False
ddpm_v5,v2,2027,0101,ddpm_v5_0101.nii.gz,0.79345703125,,14436,0.015491929945054946,0.9669220447540283,False
ddpm_v5,v2,2027,0102,ddpm_v5_0102.nii.gz,0.72607421875,,5043,0.005411873282967033,0.9706905484199524,False
ddpm_v5,v2,2027,0103,ddpm_v5_0103.nii.gz,0.701171875,,9172,0.009842891483516483,0.9551360607147217,False
ddpm_v5,v2,2027,0104,ddpm_v5_0104.nii.gz,0.68359375,,7898,0.008475703983516483,0.961603581905365,False
ddpm_v5,v2,2027,0105,ddpm_v5_0105.nii.gz,0.8359375,,11824,0.012688873626373626,0.9716067314147949,False
ddpm_v5,v2,2027,0106,ddpm_v5_0106.nii.gz,0.724609375,,7129,0.0076504550137362634,0.9680503606796265,False
ddpm_v5,v2,2027,0107,ddpm_v5_0107.nii.gz,0.72509765625,,6841,0.00734138907967033,0.9568642973899841,False
ddpm_v5,v2,2027,0108,ddpm_v5_0108.nii.gz,0.75830078125,,13519,0.014507855425824176,0.968709409236908,False
ddpm_v5,v2,2027,0109,ddpm_v5_0109.nii.gz,0.82177734375,,11223,0.012043913118131869,0.9683744311332703,False
ddpm_v5,v2,2027,0110,ddpm_v5_0110.nii.gz,0.79248046875,,17799,0.019100918612637362,0.9727491736412048,False
ddpm_v5,v2,2027,0111,ddpm_v5_0111.nii.gz,0.8896484375,,11244,0.012066449175824176,0.976409912109375,False
ddpm_v5,v2,2027,0112,ddpm_v5_0112.nii.gz,0.69921875,,15612,0.016753949175824175,0.9622176885604858,False
ddpm_v5,v2,2027,0113,ddpm_v5_0113.nii.gz,0.7177734375,,17271,0.018534297733516482,0.9669075608253479,False
ddpm_v5,v2,2027,0114,ddpm_v5_0114.nii.gz,0.90771484375,,15267,0.01638371394230769,0.9716178178787231,False
ddpm_v5,v2,2027,0115,ddpm_v5_0115.nii.gz,0.82177734375,,10643,0.011421488667582417,0.9720192551612854,False
ddpm_v5,v2,2027,0116,ddpm_v5_0116.nii.gz,0.90283203125,,13705,0.014707460508241758,0.9658764004707336,False
ddpm_v5,v2,2027,0117,ddpm_v5_0117.nii.gz,0.7392578125,,11331,0.012159812843406594,0.9709816575050354,False
ddpm_v5,v2,2027,0118,ddpm_v5_0118.nii.gz,0.771484375,,11239,0.012061083447802198,0.9687327742576599,False
ddpm_v5,v2,2027,0119,ddpm_v5_0119.nii.gz,0.6162109375,,14802,0.015884701236263735,0.9614599347114563,False
ddpm_v5,v2,2027,0120,ddpm_v5_0120.nii.gz,0.77099609375,,16744,0.01796875,0.9587639570236206,False
ddpm_v5,v2,2027,0121,ddpm_v5_0121.nii.gz,0.87255859375,,7866,0.008441363324175824,0.9715867638587952,False
ddpm_v5,v2,2027,0122,ddpm_v5_0122.nii.gz,0.79296875,,9859,0.010580142513736264,0.9656450748443604,False
ddpm_v5,v2,2027,0123,ddpm_v5_0123.nii.gz,0.8642578125,,12639,0.013563487293956044,0.9717219471931458,False
ddpm_v5,v2,2027,0124,ddpm_v5_0124.nii.gz,0.83056640625,,8186,0.008784769917582418,0.9714341163635254,False
ddpm_v5,v2,2027,0125,ddpm_v5_0125.nii.gz,0.7626953125,,9737,0.01044921875,0.9746371507644653,False
ddpm_v5,v2,2027,0126,ddpm_v5_0126.nii.gz,0.8779296875,,11740,0.012598729395604396,0.972480297088623,False
ddpm_v5,v2,2027,0127,ddpm_v5_0127.nii.gz,0.7236328125,,6621,0.007105297046703297,0.9710705876350403,False
ddpm_v5,v2,2027,0128,ddpm_v5_0128.nii.gz,0.796875,,16860,0.018093234890109892,0.9657354950904846,False
ddpm_v5,v2,2027,0129,ddpm_v5_0129.nii.gz,0.6787109375,,14590,0.015657194368131868,0.9625776410102844,False
ddpm_v5,v2,2027,0130,ddpm_v5_0130.nii.gz,0.79443359375,,12629,0.013552755837912088,0.9683516025543213,False
ddpm_v5,v2,2027,0131,ddpm_v5_0131.nii.gz,0.8330078125,,7648,0.008207417582417583,0.9793812036514282,False
ddpm_v5,v2,2027,0132,ddpm_v5_0132.nii.gz,0.86669921875,,7767,0.00833512190934066,0.961229681968689,False
ddpm_v5,v2,2027,0133,ddpm_v5_0133.nii.gz,0.75634765625,,10536,0.011306662087912088,0.9632289409637451,False
ddpm_v5,v2,2027,0134,ddpm_v5_0134.nii.gz,0.77197265625,,12857,0.013797433035714285,0.9721124172210693,False
ddpm_v5,v2,2027,0135,ddpm_v5_0135.nii.gz,0.75439453125,,9364,0.01004893543956044,0.9675436019897461,False
ddpm_v5,v2,2027,0136,ddpm_v5_0136.nii.gz,0.7255859375,,6684,0.0071729052197802195,0.9669837951660156,False
ddpm_v5,v2,2027,0137,ddpm_v5_0137.nii.gz,0.89794921875,,9626,0.010330099587912088,0.9674698710441589,False
ddpm_v5,v2,2027,0138,ddpm_v5_0138.nii.gz,0.7880859375,,9860,0.01058121565934066,0.9694018959999084,False
ddpm_v5,v2,2027,0139,ddpm_v5_0139.nii.gz,0.76416015625,,5863,0.006291852678571429,0.9653196930885315,False
ddpm_v5,v2,2027,0140,ddpm_v5_0140.nii.gz,0.66455078125,,9282,0.0099609375,0.9717388153076172,False
ddpm_v5,v2,2027,0141,ddpm_v5_0141.nii.gz,0.869140625,,18348,0.01969007554945055,0.9723000526428223,False
ddpm_v5,v2,2027,0142,ddpm_v5_0142.nii.gz,0.771484375,,12528,0.013444368131868133,0.9668733477592468,False
ddpm_v5,v2,2027,0143,ddpm_v5_0143.nii.gz,0.79052734375,,8437,0.009054129464285715,0.9662697315216064,False
ddpm_v5,v2,2027,0144,ddpm_v5_0144.nii.gz,0.689453125,,6196,0.006649210164835165,0.962276041507721,False
ddpm_v5,v2,2027,0145,ddpm_v5_0145.nii.gz,0.79150390625,,14529,0.015591732486263736,0.9651023745536804,False
ddpm_v5,v2,2027,0146,ddpm_v5_0146.nii.gz,0.71044921875,,7375,0.007914448832417582,0.9637382626533508,False
