model,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
ddpm_v5,0000,ddpm_v5_0000.nii.gz,0.85693359375,,9657,0.010363367101648351,0.9670931696891785,False
ddpm_v5,0001,ddpm_v5_0001.nii.gz,0.783203125,,10794,0.011583533653846154,0.9687650203704834,False
ddpm_v5,0002,ddpm_v5_0002.nii.gz,0.75146484375,,10001,0.01073252918956044,0.9615298509597778,False
ddpm_v5,0003,ddpm_v5_0003.nii.gz,0.79833984375,,12004,0.012882039835164835,0.9677222371101379,False
ddpm_v5,0004,ddpm_v5_0004.nii.gz,0.7939453125,,12851,0.013790994162087912,0.9718642830848694,False
ddpm_v5,0005,ddpm_v5_0005.nii.gz,0.87890625,,9102,0.009767771291208791,0.960840106010437,False
ddpm_v5,0006,ddpm_v5_0006.nii.gz,0.82861328125,,9844,0.01056404532967033,0.9749776124954224,False
ddpm_v5,0007,ddpm_v5_0007.nii.gz,0.85595703125,,13501,0.014488538804945056,0.9734199643135071,False
ddpm_v5,0008,ddpm_v5_0008.nii.gz,0.83740234375,,15449,0.01657902644230769,0.9655466675758362,False
ddpm_v5,0009,ddpm_v5_0009.nii.gz,0.79052734375,,10708,0.011491243131868133,0.9632581472396851,False
ddpm_v5,0010,ddpm_v5_0010.nii.gz,0.8271484375,,5115,0.005489139766483516,0.965194582939148,False
ddpm_v5,0011,ddpm_v5_0011.nii.gz,0.599609375,,9158,0.009827867445054945,0.9498007893562317,False
ddpm_v5,0012,ddpm_v5_0012.nii.gz,0.74658203125,,13871,0.014885602678571428,0.9645562171936035,False
ddpm_v5,0013,ddpm_v5_0013.nii.gz,0.806640625,,11669,0.012522536057692308,0.9654327630996704,False
ddpm_v5,0014,ddpm_v5_0014.nii.gz,0.82177734375,,16480,0.01768543956043956,0.9703237414360046,False
ddpm_v5,0015,ddpm_v5_0015.nii.gz,0.8291015625,,14143,0.015177498282967033,0.9599298238754272,False
ddpm_v5,0016,ddpm_v5_0016.nii.gz,0.72119140625,,15459,0.016589757898351647,0.947822093963623,False
ddpm_v5,0017,ddpm_v5_0017.nii.gz,0.69775390625,,11739,0.01259765625,0.954667329788208,False
ddpm_v5,0018,ddpm_v5_0018.nii.gz,0.86865234375,,13938,0.014957503434065935,0.9640291929244995,False
ddpm_v5,0019,ddpm_v5_0019.nii.gz,0.7646484375,,8615,0.009245149381868132,0.9595985412597656,False
ddpm_v5,0020,ddpm_v5_0020.nii.gz,0.77490234375,,14165,0.015201107486263736,0.9487605690956116,False
ddpm_v5,0021,ddpm_v5_0021.nii.gz,0.77001953125,,10300,0.011053399725274726,0.9636948108673096,False
ddpm_v5,0022,ddpm_v5_0022.nii.gz,0.72900390625,,13426,0.014408052884615385,0.9598010778427124,False
ddpm_v5,0023,ddpm_v5_0023.nii.gz,0.87548828125,,6924,0.0074304601648351645,0.9674538969993591,False
ddpm_v5,0024,ddpm_v5_0024.nii.gz,0.8251953125,,11274,0.012098643543956044,0.9679968357086182,False
ddpm_v5,0025,ddpm_v5_0025.nii.gz,0.8359375,,16485,0.01769080528846154,0.956976056098938,False
ddpm_v5,0026,ddpm_v5_0026.nii.gz,0.8095703125,,8992,0.009649725274725275,0.963252067565918,False
ddpm_v5,0027,ddpm_v5_0027.nii.gz,0.90966796875,,8540,0.009164663461538462,0.9681601524353027,False
ddpm_v5,0028,ddpm_v5_0028.nii.gz,0.810546875,,13537,0.014527172046703297,0.9619150757789612,False
